merges,n,vocab_size,chars_per_token_val,tokens_per_1k_chars_val,val_bpt,val_ppl,train_bpt,train_ppl,best_lambdas,effective_tokens_val,effective_tokens_train
10,2,270,1.1080797040524635,902.4621571379794,3.8115842977243757,14.041102335417165,3.8164624811911345,14.088659860131912,"[3.881454758916814e-06, 0.9999961185452411]",95151,798344
10,3,270,1.1080797040524635,902.4621571379794,3.0629864496928256,8.357007610544523,3.0472813391074682,8.266526994845528,"[4.860967534646988e-13, 2.9181230532587253e-05, 0.9999708187689812]",95150,798343
10,4,270,1.1080797040524635,902.4621571379794,2.909471315281912,7.5134281459183745,2.8686711314393336,7.3039208500354995,"[4.860967558479646e-13, 8.715898061822253e-06, 0.3773100397548957, 0.6226812443465565]",95149,798342
10,5,270,1.1080797040524635,902.4621571379794,2.9094594134088743,7.5133661622721615,2.8686775907194857,7.3039535514555896,"[4.860967537432918e-13, 2.6494389046227012e-08, 0.37742985753168884, 0.6225415748410681, 2.8541132367885827e-05]",95148,798341
10,6,270,1.1080797040524635,902.4621571379794,2.909450847947814,7.513321554609121,2.8686727596929846,7.3039290933871195,"[4.860967549232687e-13, 2.8604567221274213e-08, 0.37742294838079404, 0.6225494457979189, 2.757721574755778e-05, 4.860967549232687e-13]",95147,798340
10,7,270,1.1080797040524635,902.4621571379794,2.9094461196695387,7.51329693054384,2.8686716648356376,7.303923550457276,"[4.860967540660682e-13, 3.108209909829307e-08, 0.3774242374500702, 0.622547468028132, 2.826343824047336e-05, 4.860967540660682e-13, 4.860967540660682e-13]",95146,798339
10,8,270,1.1080797040524635,902.4621571379794,2.909433362611034,7.5132304943657,2.868671407383116,7.303922247054055,"[4.860967550781637e-13, 3.006354504068416e-08, 0.3774256261513804, 0.6225468920124947, 2.745177063555667e-05, 4.860967550781637e-13, 4.860967550781637e-13, 4.860967550781637e-13]",95145,798338
10,9,270,1.1080797040524635,902.4621571379794,2.9094447425213485,7.5132897586065726,2.8686693299349253,7.303911729578979,"[4.860967534604595e-13, 3.2870330404346935e-08, 0.37741591175379763, 0.622555300851134, 2.8754522307350436e-05, 4.860967534604595e-13, 4.860967534604595e-13, 4.860967534604595e-13, 4.860967534604595e-13]",95144,798337
50,2,310,1.3894731293323845,719.6972571038355,4.352024436259057,20.421606197949004,4.35875324964885,20.517076220109896,"[1.67774524167134e-06, 0.9999983222547583]",75881,638036
50,3,310,1.3894731293323845,719.6972571038355,3.677968201735265,12.799079947261276,3.6180417054528937,12.278323704868269,"[4.860967456525495e-13, 0.03110037894745576, 0.9688996210520581]",75880,638035
50,4,310,1.3894731293323845,719.6972571038355,3.6761774546646375,12.783202928577612,3.61125064433494,12.220662936760732,"[4.860967462261246e-13, 0.027456051756620248, 0.9184309004160041, 0.05411304782688951]",75879,638034
