merges,n_embed,n_heads,n_layers,lr,dropout,weight_decay,scheduler,vocab_size,model_size,val_ppl,train_ppl,val_loss,train_loss,epochs,ckpt_best,ckpt_last,full_config_file,run
50,256,4,4,0.0003,0.2,0.0001,cosine_warmup,310,3339520,6.942219257354736,7.536835193634033,1.9376214281075732,2.0198022393147803,30,../checkpoints/GPT/hparams_search/best_hps_250828_142158_82116779.pt,../checkpoints/GPT/hparams_search/last_hps_250828_142158_82116779.pt,../checkpoints/GPT/hparams_search/hps_250828_142158_82116779_hparams.json,hps_250828_142158_82116779
50,256,8,4,0.0003,0.2,0.0001,cosine_warmup,310,3339520,7.009857654571533,7.5112152099609375,1.9473173802950567,2.016397210152263,30,../checkpoints/GPT/hparams_search/best_hps_250828_142609_d1c29797.pt,../checkpoints/GPT/hparams_search/last_hps_250828_142609_d1c29797.pt,../checkpoints/GPT/hparams_search/hps_250828_142609_d1c29797_hparams.json,hps_250828_142609_d1c29797
10,128,8,2,0.0003,0.2,0.0001,cosine_warmup,270,479360,7.06525182723999,8.559900283813477,1.9552563968120806,2.1470885195146847,30,../checkpoints/GPT/hparams_search/best_hps_250828_132520_8f098fa0.pt,../checkpoints/GPT/hparams_search/last_hps_250828_132520_8f098fa0.pt,../checkpoints/GPT/hparams_search/hps_250828_132520_8f098fa0_hparams.json,hps_250828_132520_8f098fa0
50,256,2,4,0.0003,0.2,0.0001,cosine_warmup,310,3339520,7.108935832977295,7.9379425048828125,1.9613526276867799,2.071653989402919,30,../checkpoints/GPT/hparams_search/best_hps_250828_141750_fa0c46df.pt,../checkpoints/GPT/hparams_search/last_hps_250828_141750_fa0c46df.pt,../checkpoints/GPT/hparams_search/hps_250828_141750_fa0c46df_hparams.json,hps_250828_141750_fa0c46df
50,256,4,2,0.0003,0.2,0.0001,cosine_warmup,310,1765632,7.392520427703857,8.328788757324219,2.000468848128913,2.1197181248965444,30,../checkpoints/GPT/hparams_search/best_hps_250828_142115_51e89208.pt,../checkpoints/GPT/hparams_search/last_hps_250828_142115_51e89208.pt,../checkpoints/GPT/hparams_search/hps_250828_142115_51e89208_hparams.json,hps_250828_142115_51e89208
50,256,8,2,0.0003,0.2,0.0001,cosine_warmup,310,1765632,7.47279691696167,8.343045234680176,2.011269212973238,2.1214281324150326,30,../checkpoints/GPT/hparams_search/best_hps_250828_142523_d731e352.pt,../checkpoints/GPT/hparams_search/last_hps_250828_142523_d731e352.pt,../checkpoints/GPT/hparams_search/hps_250828_142523_d731e352_hparams.json,hps_250828_142523_d731e352
50,256,2,2,0.0003,0.2,0.0001,cosine_warmup,310,1765632,7.624880790710449,8.787752151489258,2.0314166907108193,2.1733588124600223,30,../checkpoints/GPT/hparams_search/best_hps_250828_141707_3f0fc2cb.pt,../checkpoints/GPT/hparams_search/last_hps_250828_141707_3f0fc2cb.pt,../checkpoints/GPT/hparams_search/hps_250828_141707_3f0fc2cb_hparams.json,hps_250828_141707_3f0fc2cb
50,128,4,8,0.0003,0.2,0.0001,cosine_warmup,310,1670784,9.137029647827148,10.458399772644043,2.212335387464324,2.347405353688898,30,../checkpoints/GPT/hparams_search/best_hps_250828_141217_7455487d.pt,../checkpoints/GPT/hparams_search/last_hps_250828_141217_7455487d.pt,../checkpoints/GPT/hparams_search/hps_250828_141217_7455487d_hparams.json,hps_250828_141217_7455487d
50,128,8,8,0.0003,0.2,0.0001,cosine_warmup,310,1670784,9.16103744506836,10.38188648223877,2.214959468905773,2.340062650604584,30,../checkpoints/GPT/hparams_search/best_hps_250828_141529_de4ff299.pt,../checkpoints/GPT/hparams_search/last_hps_250828_141529_de4ff299.pt,../checkpoints/GPT/hparams_search/hps_250828_141529_de4ff299_hparams.json,hps_250828_141529_de4ff299
50,128,2,8,0.0003,0.2,0.0001,cosine_warmup,310,1670784,9.224197387695312,10.621119499206543,2.221830130426169,2.3628443984573115,30,../checkpoints/GPT/hparams_search/best_hps_250828_140908_b247130f.pt,../checkpoints/GPT/hparams_search/last_hps_250828_140908_b247130f.pt,../checkpoints/GPT/hparams_search/hps_250828_140908_b247130f_hparams.json,hps_250828_140908_b247130f
